TYPE,N,THREADS,TIME (MICROSECONDES)
JAVA-for-each lambda,32000,1,268.0
JAVA-for-each lambda,32000,1,268.0
JAVA-for-each lambda,32000,1,271.0
JAVA-for-each lambda,32000,1,272.0
JAVA-for-each lambda,32000,1,272.0
JAVA-for-each lambda,32000,1,277.0
JAVA-for-each lambda,32000,1,296.0
JAVA-for-each lambda,320000,1,2258.0
JAVA-for-each lambda,320000,1,2267.0
JAVA-for-each lambda,320000,1,2287.0
JAVA-for-each lambda,320000,1,2426.0
JAVA-for-each lambda,320000,1,2427.0
JAVA-for-each lambda,320000,1,2475.0
JAVA-for-each lambda,320000,1,2478.0
JAVA-for-each lambda,320000,1,2569.0
JAVA-for-each lambda,320000,1,2683.0
JAVA-for-each lambda,320000,1,7624.0
JAVA-for-each lambda,3200000,1,21281.0
JAVA-for-each lambda,3200000,1,21290.0
JAVA-for-each lambda,3200000,1,21842.0
JAVA-for-each lambda,3200000,1,23335.0
JAVA-for-each lambda,3200000,1,23651.0
JAVA-for-each lambda,3200000,1,23678.0
JAVA-for-each lambda,3200000,1,23817.0
JAVA-for-each lambda,3200000,1,24049.0
JAVA-for-each lambda,3200000,1,27531.0
JAVA-for-each lambda,3200000,1,62039.0
JAVA-for-each lambda,32000000,1,237152.0
JAVA-for-each lambda,32000000,1,237172.0
JAVA-for-each lambda,32000000,1,238574.0
JAVA-for-each lambda,32000000,1,244970.0
JAVA-for-each lambda,32000000,1,259488.0
JAVA-for-each lambda,32000000,1,260549.0
JAVA-for-each lambda,32000000,1,263418.0
JAVA-for-each lambda,32000000,1,275954.0
JAVA-for-each lambda,32000000,1,288526.0
JAVA-for-each lambda,32000000,1,342991.0
